Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018/4/10 0:00,14,0,76,2,1
2018/4/10 1:00,13,0,79,4,1
2018/4/10 2:00,6,0,69,6,1
2018/4/10 3:00,5,0,73,3,0
2018/4/10 4:00,4,0,83,3,0
2018/4/10 5:00,5,0,78,3,0
2018/4/10 6:00,8,0,64,2,1
2018/4/10 7:00,10,0,62,2,2
2018/4/10 8:00,12,0,54,2,2
2018/4/10 9:00,13,0,50,2,2
2018/4/10 10:00,14,0,46,2,2
2018/4/10 11:00,14,0,43,2,2
2018/4/10 12:00,15,0,41,2,3
2018/4/10 13:00,12,0,85,2,0
2018/4/10 14:00,22,0,29,2,1
2018/4/10 15:00,24,0,26,2,1
2018/4/10 16:00,24,0,26,1,1
2018/4/10 17:00,25,0,20,2,2
2018/4/10 18:00,25,0,18,1,2
2018/4/10 19:00,25,0,18,2,2
2018/4/10 20:00,24,0,22,1,2
2018/4/10 21:00,23,0,25,1,2
2018/4/10 22:00,21,0,27,1,2
2018/4/10 23:00,19,0,40,0,0
2018/4/11 0:00,11,0,94,3,1
