Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-08 01:00:00,6,0.0,69,3,0
2018-04-08 02:00:00,6,0.0,69,6,1
2018-04-08 03:00:00,5,0.0,73,3,0
2018-04-08 04:00:00,4,0.0,83,3,0
2018-04-08 05:00:00,5,0.0,78,3,0
2018-04-08 06:00:00,8,0.0,64,2,1
2018-04-08 07:00:00,10,0.0,62,2,2
2018-04-08 08:00:00,12,0.0,54,2,2
2018-04-08 09:00:00,15,0.0,41,2,3
2018-04-08 10:00:00,16,0.0,33,3,2
2018-04-08 11:00:00,17,0.0,26,2,3
2018-04-08 12:00:00,19,0.0,28,3,2
2018-04-08 13:00:00,19,0.0,25,2,2
2018-04-08 14:00:00,21,0.0,28,2,3
2018-04-08 15:00:00,21,0.0,25,2,2
2018-04-08 16:00:00,21,0.0,24,3,2
2018-04-08 17:00:00,20,0.0,30,2,2
2018-04-08 18:00:00,17,0.0,42,2,2
2018-04-08 19:00:00,16,0.0,55,2,2
2018-04-08 20:00:00,15,0.0,65,3,1
2018-04-08 21:00:00,13,0.0,74,4,1
2018-04-08 22:00:00,14,0.0,76,2,1
2018-04-08 23:00:00,13,0.0,79,4,1
2018-04-09 00:00:00,12,0.0,85,2,0
2018-04-09 01:00:00,11,0.0,94,3,1
2018-04-09 02:00:00,11,0.0,93,4,1
2018-04-09 03:00:00,10,0.0,91,1,0
2018-04-09 04:00:00,9,0.0,88,3,0
2018-04-09 05:00:00,9,0.0,90,2,0
2018-04-09 06:00:00,10,0.0,85,2,0
2018-04-09 07:00:00,13,0.0,83,1,0
2018-04-09 08:00:00,18,0.0,42,2,1
2018-04-09 09:00:00,20,0.0,35,2,1
2018-04-09 10:00:00,22,0.0,29,2,1
2018-04-09 11:00:00,24,0.0,26,2,1
2018-04-09 12:00:00,24,0.0,26,1,1
2018-04-09 13:00:00,25,0.0,20,2,2
2018-04-09 14:00:00,25,0.0,18,1,2
2018-04-09 15:00:00,25,0.0,18,2,2
2018-04-09 16:00:00,24,0.0,22,1,2
2018-04-09 17:00:00,23,0.0,25,1,2
2018-04-09 18:00:00,21,0.0,27,1,2
2018-04-09 19:00:00,19,0.0,40,0,0
2018-04-09 20:00:00,18,0.0,45,0,1
2018-04-09 21:00:00,18,0.0,63,2,2
2018-04-09 22:00:00,17,0.0,74,1,2
2018-04-09 23:00:00,17,0.0,76,1,2
2018-04-10 00:00:00,16,0.0,78,1,1
2018-04-10 01:00:00,16,0.0,77,1,1
2018-04-10 02:00:00,16,0.0,77,1,2
2018-04-10 03:00:00,15,0.0,78,2,2
2018-04-10 04:00:00,16,0.0,78,2,2
2018-04-10 05:00:00,16,0.0,75,2,2
2018-04-10 06:00:00,16,0.0,72,2,1
2018-04-10 07:00:00,17,0.0,70,2,2
2018-04-10 08:00:00,20,0.0,62,2,2
2018-04-10 09:00:00,21,0.0,56,2,2
2018-04-10 10:00:00,22,0.0,52,2,2
2018-04-10 11:00:00,24,0.0,47,2,2
2018-04-10 12:00:00,25,0.0,43,2,2
2018-04-10 13:00:00,26,0.0,42,1,3
2018-04-10 14:00:00,26,0.0,42,1,2
2018-04-10 15:00:00,26,0.0,45,2,2
2018-04-10 16:00:00,26,0.0,46,2,2
2018-04-10 17:00:00,25,0.0,52,1,2
2018-04-10 18:00:00,23,0.0,61,1,2
2018-04-10 19:00:00,21,0.0,65,2,0
2018-04-10 20:00:00,20,0.0,62,1,0
2018-04-10 21:00:00,18,0.0,65,3,0
2018-04-10 22:00:00,19,0.0,58,3,2
2018-04-10 23:00:00,19,0.0,57,2,2
2018-04-11 00:00:00,17,0.0,63,2,0
2018-04-11 01:00:00,16,0.0,68,4,1
2018-04-11 02:00:00,16,0.0,76,2,0
2018-04-11 03:00:00,15,0.0,83,2,0
2018-04-11 04:00:00,16,0.0,82,2,0
2018-04-11 05:00:00,16,0.0,89,2,0
2018-04-11 06:00:00,16,0.0,92,7,0
2018-04-11 07:00:00,18,0.0,91,3,0
2018-04-11 08:00:00,23,0.0,61,1,1
2018-04-11 09:00:00,25,0.0,48,0,1
2018-04-11 10:00:00,26,0.0,49,7,2
2018-04-11 11:00:00,24,0.0,57,0,2
2018-04-11 12:00:00,23,0.0,49,7,2
2018-04-11 13:00:00,22,0.0,47,7,2
