Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018-04-06 00:00:00,7,1.2,92,4,0
2018-04-06 01:00:00,7,0.2,92,2,0
2018-04-06 02:00:00,7,0.1,92,6,0
2018-04-06 03:00:00,7,0.1,92,5,1
2018-04-06 04:00:00,7,0.5,92,5,0
2018-04-06 05:00:00,8,0.1,91,6,1
2018-04-06 06:00:00,8,0.0,91,4,1
2018-04-06 07:00:00,8,0.0,88,5,0
2018-04-06 08:00:00,9,0.0,77,2,1
2018-04-06 09:00:00,10,0.0,69,5,1
2018-04-06 10:00:00,11,0.0,68,4,1
2018-04-06 11:00:00,13,0.0,56,4,1
2018-04-06 12:00:00,15,0.0,48,5,1
2018-04-06 13:00:00,15,0.0,37,4,1
2018-04-06 14:00:00,15,0.0,35,4,1
2018-04-06 15:00:00,15,0.0,34,7,1
2018-04-06 16:00:00,15,0.0,35,3,1
2018-04-06 17:00:00,15,0.0,32,6,1
2018-04-06 18:00:00,14,0.0,27,5,1
2018-04-06 19:00:00,13,0.0,26,6,1
2018-04-06 20:00:00,13,0.0,29,5,1
2018-04-06 21:00:00,12,0.0,29,5,1
2018-04-06 22:00:00,12,0.0,29,5,1
2018-04-06 23:00:00,11,0.0,35,5,0
2018-04-07 00:00:00,11,0.0,33,5,0
