Time,Value,Week
2018-03-27 01:00:00,3.578999999910593,1
2018-03-27 02:00:00,4.421000000089407,1
2018-03-27 03:00:00,3.578999999910593,1
2018-03-27 04:00:00,4.421000000089407,1
2018-03-27 05:00:00,3.578999999910593,1
2018-03-27 06:00:00,4.421000000089407,1
2018-03-27 07:00:00,5.0,1
2018-03-27 08:00:00,4.595000000088476,1
2018-03-27 09:00:00,6.404999999911524,1
2018-03-27 10:00:00,8.0,1
2018-03-27 11:00:00,6.586999999941327,1
2018-03-27 12:00:00,6.413000000058673,1
2018-03-27 13:00:00,6.578999999910593,1
2018-03-27 14:00:00,6.016000000177883,1
2018-03-27 15:00:00,6.975999999907799,1
2018-03-27 16:00:00,6.015999999945052,1
2018-03-27 17:00:00,6.413000000058673,1
2018-03-27 18:00:00,4.595000000088476,1
2018-03-27 19:00:00,6.975999999907799,1
2018-03-27 20:00:00,6.015999999945052,1
2018-03-27 21:00:00,6.016000000061467,1
2018-03-27 22:00:00,6.396999999997206,1
2018-03-27 23:00:00,3.5869999999413267,1
2018-03-28 00:00:00,4.413000000058673,2
2018-03-28 01:00:00,3.5869999999413267,2
2018-03-28 02:00:00,4.413000000058673,2
2018-03-28 03:00:00,5.0,2
2018-03-28 04:00:00,3.578999999910593,2
2018-03-28 05:00:00,4.421000000089407,2
2018-03-28 06:00:00,3.578999999910593,2
2018-03-28 07:00:00,2.421000000089407,2
2018-03-28 08:00:00,3.5950000000884756,2
2018-03-28 09:00:00,12.404999999911524,2
2018-03-28 10:00:00,5.578999999910593,2
2018-03-28 11:00:00,4.992000000085682,2
2018-03-28 12:00:00,7.429000000003725,2
2018-03-28 13:00:00,6.0,2
2018-03-28 14:00:00,5.578999999910593,2
2018-03-28 15:00:00,6.016000000177883,2
2018-03-28 16:00:00,6.404999999911524,2
2018-03-28 17:00:00,6.0,2
2018-03-28 18:00:00,5.578999999910593,2
2018-03-28 19:00:00,4.992000000085682,2
2018-03-28 20:00:00,6.015999999945052,2
2018-03-28 21:00:00,6.016000000061467,2
2018-03-28 22:00:00,4.992000000085682,2
2018-03-28 23:00:00,4.404999999911524,2
2018-03-29 00:00:00,3.5950000000884756,3
2018-03-29 01:00:00,4.404999999911524,3
2018-03-29 02:00:00,3.5950000000884756,3
2018-03-29 03:00:00,4.991999999852851,3
2018-03-29 04:00:00,3.008000000147149,3
2018-03-29 05:00:00,4.991999999852851,3
2018-03-29 06:00:00,4.413000000058673,3
2018-03-29 07:00:00,3.5869999999413267,3
2018-03-29 08:00:00,6.016000000061467,3
2018-03-29 09:00:00,6.396999999997206,3
2018-03-29 10:00:00,6.595000000088476,3
2018-03-29 11:00:00,6.404999999911524,3
2018-03-29 12:00:00,6.0,3
2018-03-29 13:00:00,6.603000000002794,3
2018-03-29 14:00:00,6.396999999997206,3
2018-03-29 15:00:00,5.570999999996275,3
2018-03-29 16:00:00,6.015999999945052,3
2018-03-29 17:00:00,6.413000000058673,3
2018-03-29 18:00:00,6.0,3
2018-03-29 19:00:00,5.570999999996275,3
2018-03-29 20:00:00,5.429000000003725,3
2018-03-29 21:00:00,5.578999999910593,3
2018-03-29 22:00:00,4.992000000085682,3
2018-03-29 23:00:00,4.429000000003725,3
2018-03-30 00:00:00,3.5709999999962747,4
2018-03-30 01:00:00,4.032000000006519,4
2018-03-30 02:00:00,3.9679999999934807,4
2018-03-30 03:00:00,4.429000000003725,4
2018-03-30 04:00:00,3.5709999999962747,4
2018-03-30 05:00:00,4.032000000006519,4
2018-03-30 06:00:00,3.9679999999934807,4
2018-03-30 07:00:00,5.429000000003725,4
2018-03-30 08:00:00,5.578999999910593,4
2018-03-30 09:00:00,6.016000000177883,4
2018-03-30 10:00:00,6.404999999911524,4
2018-03-30 11:00:00,6.0,4
