Time,Value,Week,1DayAgoValue,1HourAgoValue
2018-03-28 02:00:00,4.413000000058673,2,4.421000000089407,3.5869999999413267
2018-03-28 03:00:00,5.0,2,3.578999999910593,4.413000000058673
2018-03-28 04:00:00,3.578999999910593,2,4.421000000089407,5.0
2018-03-28 05:00:00,4.421000000089407,2,3.578999999910593,3.578999999910593
2018-03-28 06:00:00,3.578999999910593,2,4.421000000089407,4.421000000089407
2018-03-28 07:00:00,2.421000000089407,2,5.0,3.578999999910593
2018-03-28 08:00:00,3.5950000000884756,2,4.595000000088476,2.421000000089407
2018-03-28 09:00:00,12.404999999911524,2,6.404999999911524,3.5950000000884756
2018-03-28 10:00:00,5.578999999910593,2,8.0,12.404999999911524
2018-03-28 11:00:00,4.992000000085682,2,6.586999999941327,5.578999999910593
2018-03-28 12:00:00,7.429000000003725,2,6.413000000058673,4.992000000085682
2018-03-28 13:00:00,6.0,2,6.578999999910593,7.429000000003725
2018-03-28 14:00:00,5.578999999910593,2,6.016000000177883,6.0
2018-03-28 15:00:00,6.016000000177883,2,6.975999999907799,5.578999999910593
2018-03-28 16:00:00,6.404999999911524,2,6.015999999945052,6.016000000177883
2018-03-28 17:00:00,6.0,2,6.413000000058673,6.404999999911524
2018-03-28 18:00:00,5.578999999910593,2,4.595000000088476,6.0
2018-03-28 19:00:00,4.992000000085682,2,6.975999999907799,5.578999999910593
2018-03-28 20:00:00,6.015999999945052,2,6.015999999945052,4.992000000085682
2018-03-28 21:00:00,6.016000000061467,2,6.016000000061467,6.015999999945052
2018-03-28 22:00:00,4.992000000085682,2,6.396999999997206,6.016000000061467
2018-03-28 23:00:00,4.404999999911524,2,3.5869999999413267,4.992000000085682
2018-03-29 00:00:00,3.5950000000884756,3,4.413000000058673,4.404999999911524
2018-03-29 01:00:00,4.404999999911524,3,3.5869999999413267,3.5950000000884756
2018-03-29 02:00:00,3.5950000000884756,3,4.413000000058673,4.404999999911524
2018-03-29 03:00:00,4.991999999852851,3,5.0,3.5950000000884756
2018-03-29 04:00:00,3.008000000147149,3,3.578999999910593,4.991999999852851
2018-03-29 05:00:00,4.991999999852851,3,4.421000000089407,3.008000000147149
2018-03-29 06:00:00,4.413000000058673,3,3.578999999910593,4.991999999852851
2018-03-29 07:00:00,3.5869999999413267,3,2.421000000089407,4.413000000058673
2018-03-29 08:00:00,6.016000000061467,3,3.5950000000884756,3.5869999999413267
2018-03-29 09:00:00,6.396999999997206,3,12.404999999911524,6.016000000061467
2018-03-29 10:00:00,6.595000000088476,3,5.578999999910593,6.396999999997206
2018-03-29 11:00:00,6.404999999911524,3,4.992000000085682,6.595000000088476
2018-03-29 12:00:00,6.0,3,7.429000000003725,6.404999999911524
2018-03-29 13:00:00,6.603000000002794,3,6.0,6.0
2018-03-29 14:00:00,6.396999999997206,3,5.578999999910593,6.603000000002794
2018-03-29 15:00:00,5.570999999996275,3,6.016000000177883,6.396999999997206
2018-03-29 16:00:00,6.015999999945052,3,6.404999999911524,5.570999999996275
2018-03-29 17:00:00,6.413000000058673,3,6.0,6.015999999945052
2018-03-29 18:00:00,6.0,3,5.578999999910593,6.413000000058673
2018-03-29 19:00:00,5.570999999996275,3,4.992000000085682,6.0
2018-03-29 20:00:00,5.429000000003725,3,6.015999999945052,5.570999999996275
2018-03-29 21:00:00,5.578999999910593,3,6.016000000061467,5.429000000003725
2018-03-29 22:00:00,4.992000000085682,3,4.992000000085682,5.578999999910593
2018-03-29 23:00:00,4.429000000003725,3,4.404999999911524,4.992000000085682
2018-03-30 00:00:00,3.5709999999962747,4,3.5950000000884756,4.429000000003725
2018-03-30 01:00:00,4.032000000006519,4,4.404999999911524,3.5709999999962747
2018-03-30 02:00:00,3.9679999999934807,4,3.5950000000884756,4.032000000006519
2018-03-30 03:00:00,4.429000000003725,4,4.991999999852851,3.9679999999934807
2018-03-30 04:00:00,3.5709999999962747,4,3.008000000147149,4.429000000003725
2018-03-30 05:00:00,4.032000000006519,4,4.991999999852851,3.5709999999962747
2018-03-30 06:00:00,3.9679999999934807,4,4.413000000058673,4.032000000006519
2018-03-30 07:00:00,5.429000000003725,4,3.5869999999413267,3.9679999999934807
2018-03-30 08:00:00,5.578999999910593,4,6.016000000061467,5.429000000003725
2018-03-30 09:00:00,6.016000000177883,4,6.396999999997206,5.578999999910593
2018-03-30 10:00:00,6.404999999911524,4,6.595000000088476,6.016000000177883
2018-03-30 11:00:00,6.0,4,6.404999999911524,6.404999999911524
2018-03-30 12:00:00,5.578999999910593,4,6.0,6.0
2018-03-30 13:00:00,6.016000000177883,4,6.603000000002794,5.578999999910593
2018-03-30 14:00:00,6.404999999911524,4,6.396999999997206,6.016000000177883
2018-03-30 15:00:00,6.0,4,5.570999999996275,6.404999999911524
2018-03-30 16:00:00,5.578999999910593,4,6.015999999945052,6.0
2018-03-30 17:00:00,6.016000000177883,4,6.413000000058673,5.578999999910593
2018-03-30 18:00:00,6.404999999911524,4,6.0,6.016000000177883
2018-03-30 19:00:00,6.0,4,5.570999999996275,6.404999999911524
2018-03-30 20:00:00,5.578999999910593,4,5.429000000003725,6.0
2018-03-30 21:00:00,6.016000000177883,4,5.578999999910593,5.578999999910593
2018-03-30 22:00:00,6.404999999911524,4,4.992000000085682,6.016000000177883
2018-03-30 23:00:00,3.578999999910593,4,4.429000000003725,6.404999999911524
2018-03-31 00:00:00,4.421000000089407,5,3.5709999999962747,3.578999999910593
2018-03-31 01:00:00,3.578999999910593,5,4.032000000006519,4.421000000089407
