Time,Value,Week
2017-05-10 00:00:00,145.0240000000922,2
2017-05-11 00:00:00,203.3969999999972,3
2017-05-12 00:00:00,173.0,4
2017-05-13 00:00:00,161.58699999994133,5
2017-05-14 00:00:00,201.98400000005495,6
2017-05-15 00:00:00,149.42900000000373,0
2017-05-16 00:00:00,170.57099999999627,1
2017-05-17 00:00:00,157.42900000000373,2
2017-05-18 00:00:00,178.0,3
2017-05-19 00:00:00,214.58699999994133,4
2017-05-20 00:00:00,179.00800000014715,5
2017-05-21 00:00:00,188.99199999985285,6
2017-05-22 00:00:00,209.41300000005867,0
2017-05-23 00:00:00,292.6030000000028,1
2017-05-24 00:00:00,281.3969999999972,2
2017-05-25 00:00:00,432.0,3
2017-05-26 00:00:00,165.5789999999106,4
2017-05-27 00:00:00,179.00800000003073,5
2017-05-28 00:00:00,153.98400000005495,6
2017-05-29 00:00:00,423.4290000000037,0
2017-05-30 00:00:00,0.0,1
2017-05-31 00:00:00,0.0,2
2017-06-01 00:00:00,456.0,3
2017-06-02 00:00:00,230.0,4
2017-06-03 00:00:00,261.0,5
2017-06-04 00:00:00,267.0,6
2017-06-05 00:00:00,152.0,0
2017-06-06 00:00:00,150.6030000000028,1
2017-06-07 00:00:00,198.3969999999972,2
2017-06-08 00:00:00,171.0,3
2017-06-09 00:00:00,229.5789999999106,4
2017-06-10 00:00:00,457.0240000000922,5
2017-06-11 00:00:00,240.0,6
2017-06-12 00:00:00,241.3969999999972,0
2017-06-13 00:00:00,181.0,1
2017-06-14 00:00:00,229.0,2
2017-06-15 00:00:00,180.6030000000028,3
2017-06-16 00:00:00,176.0,4
2017-06-17 00:00:00,179.3969999999972,5
2017-06-18 00:00:00,176.0,6
2017-06-19 00:00:00,174.58699999994133,0
2017-06-20 00:00:00,200.0,1
2017-06-21 00:00:00,222.41300000005867,2
2017-06-22 00:00:00,249.58699999994133,3
2017-06-23 00:00:00,1.4130000000586733,4
2017-06-24 00:00:00,0.0,5
2017-06-25 00:00:00,0.0,6
2017-06-26 00:00:00,0.0,0
2017-06-27 00:00:00,0.0,1
2017-06-28 00:00:00,0.0,2
2017-06-29 00:00:00,0.0,3
2017-06-30 00:00:00,0.0,4
2017-07-01 00:00:00,0.0,5
2017-07-02 00:00:00,0.0,6
2017-07-03 00:00:00,0.0,0
2017-07-04 00:00:00,0.0,1
2017-07-05 00:00:00,0.0,2
2017-07-06 00:00:00,0.0,3
2017-07-07 00:00:00,0.0,4
2017-07-08 00:00:00,3889.5950000000885,5
2017-07-09 00:00:00,305.4049999999115,6
2017-07-10 00:00:00,454.5950000000885,0
2017-07-11 00:00:00,481.9839999998221,1
2017-07-12 00:00:00,316.4210000000894,2
2017-07-13 00:00:00,408.5709999999963,3
2017-07-14 00:00:00,385.0240000000922,4
2017-07-15 00:00:00,516.9919999998529,5
2017-07-16 00:00:00,364.4130000000587,6
2017-07-17 00:00:00,329.6030000000028,0
2017-07-18 00:00:00,396.9920000000857,1
2017-07-19 00:00:00,420.99199999985285,2
2017-07-20 00:00:00,358.4130000000587,3
2017-07-21 00:00:00,388.5950000000885,4
2017-07-22 00:00:00,392.0,5
2017-07-23 00:00:00,337.9839999998221,6
2017-07-24 00:00:00,392.0,0
2017-07-25 00:00:00,380.9920000000857,1
2017-07-26 00:00:00,338.4290000000037,2
2017-07-27 00:00:00,360.5789999999106,3
2017-07-28 00:00:00,409.0240000000922,4
2017-07-29 00:00:00,329.3969999999972,5
2017-07-30 00:00:00,312.0,6
2017-07-31 00:00:00,327.0,0
2017-08-01 00:00:00,446.0,1
2017-08-02 00:00:00,451.0,2
2017-08-03 00:00:00,330.5709999999963,3
2017-08-04 00:00:00,374.01599999994505,4
2017-08-05 00:00:00,401.4130000000587,5
2017-08-06 00:00:00,294.0,6
2017-08-07 00:00:00,306.0,0
2017-08-08 00:00:00,353.5950000000885,1
2017-08-09 00:00:00,352.0,2
2017-08-10 00:00:00,395.0079999999143,3
2017-08-11 00:00:00,438.3969999999972,4
2017-08-12 00:00:00,393.6030000000028,5
2017-08-13 00:00:00,273.98399999993853,6
2017-08-14 00:00:00,363.00800000014715,0
2017-08-15 00:00:00,345.4049999999115,1
2017-08-16 00:00:00,376.5789999999106,2
2017-08-17 00:00:00,312.0,3
2017-08-18 00:00:00,350.0160000001779,4
2017-08-19 00:00:00,356.4049999999115,5
2017-08-20 00:00:00,445.0,6
2017-08-21 00:00:00,349.0,0
2017-08-22 00:00:00,414.5869999999413,1
2017-08-23 00:00:00,441.98400000005495,2
2017-08-24 00:00:00,451.0079999999143,3
2017-08-25 00:00:00,427.00800000003073,4
2017-08-26 00:00:00,343.4130000000587,5
2017-08-27 00:00:00,266.0,6
2017-08-28 00:00:00,374.0,0
2017-08-29 00:00:00,328.0,1
2017-08-30 00:00:00,349.5789999999106,2
2017-08-31 00:00:00,260.9920000000857,3
2017-09-01 00:00:00,256.0,4
