AH_AnalogNo,AH_Time,AH_Value
19534,2017-01-01 18:17:08.000,775857.024
19534,2017-01-01 18:27:08.000,775858.429
19534,2017-01-01 18:37:09.000,775859.008
19534,2017-01-01 18:42:08.000,775860.429
19534,2017-01-01 18:52:08.000,775861.429
19534,2017-01-01 19:02:08.000,775862.016
19534,2017-01-01 19:07:09.000,775863.429
19534,2017-01-01 19:17:08.000,775864
19534,2017-01-01 19:27:09.000,775865.024
19534,2017-01-01 19:32:08.000,775866.429
19534,2017-01-01 19:42:08.000,775867.008
19534,2017-01-01 19:52:07.000,775868.032
19534,2017-01-01 19:57:09.000,775869.429
19534,2017-01-01 20:07:08.000,775870.016
19534,2017-01-01 20:12:10.000,775871.429
19534,2017-01-01 20:22:08.000,775872
19534,2017-01-01 20:32:08.000,775873.024
19534,2017-01-01 20:37:08.000,775874.429
19534,2017-01-01 20:47:09.000,775875.008
19534,2017-01-01 20:52:10.000,775876.429
19534,2017-01-01 21:02:07.000,775877.429
19534,2017-01-01 21:12:10.000,775878.016
19534,2017-01-01 21:17:08.000,775879.429
19534,2017-01-01 21:27:09.000,775880
19534,2017-01-01 21:32:09.000,775881.024
19534,2017-01-01 21:42:08.000,775882.429
19534,2017-01-01 21:52:08.000,775883.008
19534,2017-01-01 22:02:09.000,775884.032
19534,2017-01-01 22:22:08.000,775885.429
19534,2017-01-01 22:37:08.000,775886.016
19534,2017-01-01 22:57:08.000,775887.429
19534,2017-01-01 23:12:09.000,775888
19534,2017-01-01 23:27:07.000,775889.024
19534,2017-01-01 23:47:08.000,775890.429
19534,2017-01-02 00:02:06.000,775891.008
19534,2017-01-02 00:17:06.000,775892.429
19534,2017-01-02 00:32:07.000,775893.429
19534,2017-01-02 00:52:05.000,775894.016
19534,2017-01-02 01:07:07.000,775895.429
19534,2017-01-02 01:22:07.000,775896
19534,2017-01-02 01:42:08.000,775897.024
19534,2017-01-02 01:57:06.000,775898.429
19534,2017-01-02 02:12:06.000,775899.008
19534,2017-01-02 02:27:07.000,775900.032
19534,2017-01-02 02:47:05.000,775901.429
19534,2017-01-02 03:02:05.000,775902.016
19534,2017-01-02 03:17:06.000,775903.429
19534,2017-01-02 03:32:07.000,775904
19534,2017-01-02 03:52:05.000,775905.024
19534,2017-01-02 04:12:07.000,775906.429
19534,2017-01-02 04:22:06.000,775907.008
19534,2017-01-02 04:37:07.000,775908.429
19534,2017-01-02 04:57:07.000,775909.429
19534,2017-01-02 05:12:05.000,775910.016
19534,2017-01-02 05:27:06.000,775911.429
19534,2017-01-02 05:42:05.000,775912
19534,2017-01-02 06:02:05.000,775913.024
19534,2017-01-02 06:17:05.000,775914.429
19534,2017-01-02 06:32:06.000,775915.008
19534,2017-01-02 06:47:04.000,775916.032
19534,2017-01-02 06:57:06.000,775917.429
19534,2017-01-02 07:07:05.000,775918.016
19534,2017-01-02 07:12:05.000,775919.429
19534,2017-01-02 07:22:04.000,775920
19534,2017-01-02 07:32:05.000,775921.024
19534,2017-01-02 07:37:05.000,775922.429
19534,2017-01-02 07:47:05.000,775923.008
19534,2017-01-02 07:52:03.000,775924.429
19534,2017-01-02 08:01:50.000,775925.429
19534,2017-01-02 08:06:49.000,775926.016
19534,2017-01-02 08:16:50.000,775927.429
19534,2017-01-02 08:26:50.000,775928
19534,2017-01-02 08:31:49.000,775929.024
19534,2017-01-02 08:46:49.000,775931.008
19534,2017-01-02 08:56:50.000,775932.032
19534,2017-01-02 09:01:48.000,775933.429
19534,2017-01-02 09:06:48.000,775934.016
19534,2017-01-02 09:11:49.000,775935.429
19534,2017-01-02 09:16:50.000,775936
19534,2017-01-02 09:26:48.000,775937.024
19534,2017-01-02 09:31:48.000,775938.429
19534,2017-01-02 09:36:50.000,775939.008
19534,2017-01-02 09:41:50.000,775940.429
19534,2017-01-02 09:46:49.000,775941.429
19534,2017-01-02 09:51:48.000,775942.016
19534,2017-01-02 10:01:50.000,775943.429
19534,2017-01-02 10:06:49.000,775944
19534,2017-01-02 10:11:49.000,775945.024
19534,2017-01-02 10:16:51.000,775946.429
19534,2017-01-02 10:21:49.000,775947.008
19534,2017-01-02 10:31:49.000,775948.032
19534,2017-01-02 10:36:49.000,775949.429
19534,2017-01-02 10:41:50.000,775950.016
19534,2017-01-02 10:51:50.000,775952
19534,2017-01-02 11:01:50.000,775953.024
19534,2017-01-02 11:06:49.000,775954.429
19534,2017-01-02 11:11:49.000,775955.008
19534,2017-01-02 11:16:50.000,775956.429
19534,2017-01-02 11:21:49.000,775957.429
