AH_AnalogNo,AH_Time,AH_Value
19534,2018/3/27 22:47:47.000,883797.429
19534,2018/3/27 23:02:48.000,883798.016
19534,2018/3/27 23:17:47.000,883799.429
19534,2018/3/27 23:27:48.000,883800
19534,2018/3/27 23:42:48.000,883801.024
19534,2018/3/27 23:57:47.000,883802.429
19534,2018/3/28 00:12:49.000,883803.008
19534,2018/3/28 00:27:48.000,883804.032
19534,2018/3/28 00:42:47.000,883805.429
19534,2018/3/28 00:57:48.000,883806.016
19534,2018/3/28 01:12:49.000,883807.429
19534,2018/3/28 01:27:49.000,883808
19534,2018/3/28 01:42:47.000,883809.024
19534,2018/3/28 01:52:53.000,883810.429
19534,2018/3/28 02:12:52.000,883811.008
19534,2018/3/28 02:22:47.000,883812.429
19534,2018/3/28 02:42:50.000,883813.429
19534,2018/3/28 02:52:47.000,883814.016
19534,2018/3/28 03:07:48.000,883815.429
19534,2018/3/28 03:27:51.000,883816
19534,2018/3/28 03:37:55.000,883817.024
19534,2018/3/28 03:52:56.000,883818.429
19534,2018/3/28 04:04:23.000,883819.008
19534,2018/3/28 04:18:23.000,883820.032
19534,2018/3/28 04:37:03.000,883821.429
19534,2018/3/28 05:02:51.000,883823.429
19534,2018/3/28 05:17:00.000,883824
19534,2018/3/28 05:40:42.000,883825.024
19534,2018/3/28 06:07:12.000,883827.008
19534,2018/3/28 06:35:06.000,883829.429
19534,2018/3/28 07:22:06.000,883833.024
19534,2018/3/28 08:19:35.000,883839.429
19534,2018/3/28 08:25:13.000,883840
19534,2018/3/28 08:36:31.000,883841.024
19534,2018/3/28 08:44:24.000,883842.429
19534,2018/3/28 08:53:12.000,883843.008
19534,2018/3/28 09:12:22.000,883845.429
19534,2018/3/28 09:22:22.000,883846.016
19534,2018/3/28 09:32:23.000,883847.429
19534,2018/3/28 09:42:22.000,883848
19534,2018/3/28 09:52:23.000,883849.024
19534,2018/3/28 10:02:20.000,883850.429
19534,2018/3/28 10:12:22.000,883851.008
19534,2018/3/28 10:22:24.000,883852.032
19534,2018/3/28 10:32:22.000,883853.429
19534,2018/3/28 10:42:24.000,883854.016
19534,2018/3/28 10:57:21.000,883855.429
19534,2018/3/28 11:02:20.000,883856
19534,2018/3/28 11:17:22.000,883857.024
19534,2018/3/28 11:27:22.000,883858.429
19534,2018/3/28 11:32:22.000,883859.008
19534,2018/3/28 11:47:23.000,883860.429
19534,2018/3/28 11:52:23.000,883861.429
19534,2018/3/28 12:02:25.000,883862.016
19534,2018/3/28 12:07:22.000,883863.429
19534,2018/3/28 12:22:24.000,883864
19534,2018/3/28 12:27:23.000,883865.024
19534,2018/3/28 12:37:24.000,883866.429
19534,2018/3/28 12:47:23.000,883867.008
19534,2018/3/28 12:57:24.000,883868.032
19534,2018/3/28 13:07:24.000,883869.429
19534,2018/3/28 13:17:24.000,883870.016
19534,2018/3/28 13:27:24.000,883871.429
19534,2018/3/28 13:37:24.000,883872
19534,2018/3/28 13:47:23.000,883873.024
19534,2018/3/28 13:57:22.000,883874.429
19534,2018/3/28 14:07:20.000,883875.008
19534,2018/3/28 14:17:20.000,883876.429
19534,2018/3/28 14:27:18.000,883877.429
19534,2018/3/28 14:37:19.000,883878.016
19534,2018/3/28 14:47:19.000,883879.429
19534,2018/3/28 14:57:18.000,883880
19534,2018/3/28 15:07:21.000,883881.024
19534,2018/3/28 15:17:18.000,883882.429
19534,2018/3/28 15:27:20.000,883883.008
19534,2018/3/28 15:37:18.000,883884.032
19534,2018/3/28 15:47:20.000,883885.429
19534,2018/3/28 15:57:18.000,883886.016
19534,2018/3/28 16:07:19.000,883887.429
19534,2018/3/28 16:22:18.000,883888
19534,2018/3/28 16:32:21.000,883889.024
19534,2018/3/28 16:42:19.000,883890.429
19534,2018/3/28 16:52:20.000,883891.008
19534,2018/3/28 17:07:19.000,883892.429
19534,2018/3/28 17:12:19.000,883893.429
19534,2018/3/28 17:22:18.000,883894.016
19534,2018/3/28 17:32:19.000,883895.429
19534,2018/3/28 17:42:18.000,883896
19534,2018/3/28 17:57:18.000,883897.024
19534,2018/3/28 18:02:19.000,883898.429
19534,2018/3/28 18:12:17.000,883899.008
19534,2018/3/28 18:22:18.000,883900.032
19534,2018/3/28 18:32:19.000,883901.429
19534,2018/3/28 18:47:20.000,883902.016
19534,2018/3/28 18:57:19.000,883903.429
19534,2018/3/28 19:07:19.000,883904
19534,2018/3/28 19:17:20.000,883905.024
19534,2018/3/28 19:32:18.000,883906.429
19534,2018/3/28 19:37:19.000,883907.008
19534,2018/3/28 19:52:19.000,883908.429
