Date,Hmax,Hmin,Humidity
2017-01-01 00:00:00,9,3,20
2017-01-02 00:00:00,9,3,20
2017-01-03 00:00:00,9,3,30
2017-01-04 00:00:00,9,2,37
2017-01-05 00:00:00,9,2,50
2017-01-06 00:00:00,9,2,30
2017-01-07 00:00:00,9,2,30
2017-01-08 00:00:00,9,2,30
2017-01-09 00:00:00,9,2,27
2017-01-10 00:00:00,8,2,30
2017-01-11 00:00:00,8,2,40
2017-01-12 00:00:00,8,2,37
2017-01-13 00:00:00,8,2,27
2017-01-14 00:00:00,8,2,27
2017-01-15 00:00:00,8,2,43
2017-01-16 00:00:00,8,2,30
2017-01-17 00:00:00,8,2,37
2017-01-18 00:00:00,8,2,52
2017-01-19 00:00:00,8,2,40
2017-01-20 00:00:00,8,2,30
2017-01-21 00:00:00,8,2,37
2017-01-22 00:00:00,8,2,43
2017-01-23 00:00:00,8,2,37
2017-01-24 00:00:00,8,2,27
2017-01-25 00:00:00,8,2,33
2017-01-26 00:00:00,8,2,20
2017-01-27 00:00:00,8,2,20
2017-01-28 00:00:00,8,2,13
2017-01-29 00:00:00,9,2,20
2017-01-30 00:00:00,9,2,30
2017-01-31 00:00:00,9,2,40
2017-02-01 00:00:00,9,2,40
2017-02-02 00:00:00,9,2,30
2017-02-03 00:00:00,9,2,33
2017-02-04 00:00:00,9,2,40
2017-02-05 00:00:00,9,2,33
2017-02-06 00:00:00,9,3,27
2017-02-07 00:00:00,10,3,33
2017-02-08 00:00:00,10,3,37
2017-02-09 00:00:00,10,3,20
2017-02-10 00:00:00,10,3,27
2017-02-11 00:00:00,10,3,27
2017-02-12 00:00:00,10,3,17
2017-02-13 00:00:00,10,3,30
2017-02-14 00:00:00,10,3,40
2017-02-15 00:00:00,10,4,43
2017-02-16 00:00:00,11,4,60
2017-02-17 00:00:00,11,4,47
2017-02-18 00:00:00,11,4,50
2017-02-19 00:00:00,11,4,50
2017-02-20 00:00:00,11,4,33
2017-02-21 00:00:00,11,4,23
