Time,Temperature,Rain,Humidity,WindDirection,WindPower
2018/3/31 0:00,17,0,82,7,2
2018/3/31 1:00,16,0,84,6,1
2018/3/31 2:00,15,0,86,6,1
2018/3/31 3:00,15,0,84,6,2
2018/3/31 4:00,16,0,78,7,2
2018/3/31 5:00,15,0,78,7,2
2018/3/31 6:00,15,0,82,7,0
2018/3/31 7:00,15,0,87,7,1
2018/3/31 8:00,16,0,78,7,2
2018/3/31 9:00,18,0,72,7,1
2018/3/31 10:00,19,0,67,7,1
2018/3/31 11:00,21,0,58,6,1
2018/3/31 12:00,22,0,61,6,2
2018/3/31 13:00,24,0,45,4,1
2018/3/31 14:00,26,0,42,6,1
2018/3/31 15:00,26,0,43,4,2
2018/3/31 16:00,26,0,44,3,1
2018/3/31 17:00,26,0,46,5,1
2018/3/31 18:00,25,0,54,5,0
2018/3/31 19:00,21,0,73,0,0
2018/3/31 20:00,19,0,81,3,0
2018/3/31 21:00,18,0,87,2,0
2018/3/31 22:00,17,0,91,4,1
2018/3/31 23:00,17,0,91,3,0
2018/4/1 0:00,16,0,93,3,0
